,team_depth_1,score_depth_1,team_depth_2,score_depth_2,team_depth_3,score_depth_3,team_depth_4,score_depth_4,team_depth_5,score_depth_5,team_depth_6,score_depth_6,team_depth_7,score_depth_7,team_depth_8,score_depth_8,team_depth_9,score_depth_9,team_depth_10,score_depth_10
62, Colorado_St,0.49999999999999994, Colorado_St,0.6922591297591295, Colorado_St,0.7610816000239078, Colorado_St,0.7840751650116581, Ohio,0.7910703448274213, Ohio,0.7928971727330569, Ohio,0.7935042170885765, Ohio,0.7937050439191072, Ohio,0.7937711447241427, Ohio,0.7937928082038329
63, E_Michigan,0.49999999999999994, Southern_Miss,0.6807012432012428, E_Michigan,0.7609597012350502, E_Michigan,0.7825762916249991, E_Michigan,0.7895630124373584, E_Michigan,0.7918165972778798, E_Michigan,0.7925566657959809, E_Michigan,0.7927989753333873, E_Michigan,0.7928780874683637, E_Michigan,0.7929038586396554
64, Southern_Miss,0.49999999999999994, Wake_Forest,0.6794871794871793, Southern_Miss,0.7433334035169702, Southern_Miss,0.7641285719251809, Southern_Miss,0.7712601813224195, Southern_Miss,0.7736618367256349, Southern_Miss,0.7744576499379883, Southern_Miss,0.7747213436619668, Southern_Miss,0.7748083480160283, Southern_Miss,0.7748368986130866
65, NC_State,0.49999999999999994, Vanderbilt,0.6638500388500385, Wake_Forest,0.7411463342407397, Wake_Forest,0.7619585610288105, Wake_Forest,0.7691801548088818, Wake_Forest,0.7717466798810997, Wake_Forest,0.7726460805586728, Wake_Forest,0.7729575450423929, Wake_Forest,0.7730637476555794, Wake_Forest,0.7730994406250188
66, Kentucky,0.49999999999999994, Boston_College,0.6559343434343431, Boston_College,0.7104204192272372, Boston_College,0.7291191952060919, Boston_College,0.7357091562525606, Boston_College,0.7379839805574885, Boston_College,0.738772877626801, Boston_College,0.7390441918285957, Boston_College,0.7391365464881587, Boston_College,0.7391675889554639
67, Indiana,0.46153846153846156, Miami_OH,0.653661616161616, Miami_OH,0.704815933225024, Miami_OH,0.7217741560877364, Miami_OH,0.7273822560655645, Miami_OH,0.7292271779405477, Miami_OH,0.7298336312368487, Miami_OH,0.7300330050045895, Miami_OH,0.7300982884524766, Miami_OH,0.7301196034902014
68, Hawaii,0.46153846153846156, Hawaii,0.62004662004662, C_Michigan,0.6709164783028421, C_Michigan,0.692838937279631, C_Michigan,0.7001616708459467, C_Michigan,0.7026470616942116, C_Michigan,0.7034814947351238, C_Michigan,0.7037581335378651, C_Michigan,0.703848991886352, C_Michigan,0.7038786422774096
69, N_Illinois,0.4545454545454546, C_Michigan,0.6073717948717947, Hawaii,0.6661294222483027, Hawaii,0.6808664926160006, California,0.6878756329826294, California,0.6902785641298799, California,0.6910876094267117, California,0.6913566902887119, California,0.6914461690778625, California,0.691475848467418
70, Texas,0.41666666666666663, California,0.5959110334110331, California,0.6600334640107367, California,0.6807712812345029, Hawaii,0.6857840108682273, Hawaii,0.6873865480243966, Hawaii,0.6879051224639239, Hawaii,0.6880741544273993, Hawaii,0.68812965306973, Hawaii,0.6881478972173298
71, Mississippi_St,0.41666666666666663, N_Illinois,0.5842975206611569, Mississippi_St,0.6430325987144175, Mississippi_St,0.6687346307783659, Mississippi_St,0.6783321315225623, Mississippi_St,0.6817890015850547, Mississippi_St,0.6829941993234798, Mississippi_St,0.6834060460730341, Mississippi_St,0.6835445569298507, Mississippi_St,0.6835904722922644
