,team_depth_1,score_depth_1,team_depth_2,score_depth_2,team_depth_3,score_depth_3,team_depth_4,score_depth_4,team_depth_5,score_depth_5,team_depth_6,score_depth_6,team_depth_7,score_depth_7,team_depth_8,score_depth_8,team_depth_9,score_depth_9,team_depth_10,score_depth_10
0, UCF,1.0000000000000002, UCF,1.4954969273151089, UCF,1.6758449795242523, UCF,1.7423876023147786, Alabama,1.767765494899724, Alabama,1.7786955219957492, Alabama,1.7823684826555513, Alabama,1.783570971100346, Alabama,1.7839560910478405, Alabama,1.7840773587778884
1, Wisconsin,0.9285714285714283, Alabama,1.4301980071210842, Alabama,1.649748683120115, Alabama,1.7361851492733769, UCF,1.7655252345305144, UCF,1.7731494179406655, UCF,1.7756270721881346, UCF,1.7764139767119098, UCF,1.7766596236773984, UCF,1.7767355308872785
2, Alabama,0.9230769230769229, Wisconsin,1.3755827505827494, Wisconsin,1.5531877047361649, Georgia,1.6205809936374849, Georgia,1.6491522494061612, Georgia,1.6590553084355208, Georgia,1.6623723730681967, Georgia,1.6634553518959494, Georgia,1.66380211951127, Georgia,1.6639114105338118
3, Ohio_St,0.8571428571428569, Georgia,1.3307692307692296, Georgia,1.5408908433945983, Wisconsin,1.6176723209253001, Clemson,1.6411851347108208, Clemson,1.6517986844424344, Clemson,1.6553684188723405, Clemson,1.6565305201425096, Clemson,1.6568996573820238, Clemson,1.6570145935791607
4, Georgia,0.8571428571428569, Ohio_St,1.3244434137291268, Clemson,1.527370623369809, Clemson,1.6107387106469102, Wisconsin,1.640001620507136, Wisconsin,1.6474973256258034, Wisconsin,1.649947121519153, Wisconsin,1.6507324913521553, Wisconsin,1.6509805068294232, Wisconsin,1.6510578183474858
5, Oklahoma,0.846153846153846, Clemson,1.3183342298726903, Ohio_St,1.515529356313576, Ohio_St,1.5851061983595673, Ohio_St,1.6094147913723924, Ohio_St,1.6175978311454025, Ohio_St,1.6202694008431635, Ohio_St,1.6211255095309312, Ohio_St,1.6213959890180787, Ohio_St,1.621480519463572
6, Penn_St,0.846153846153846, Penn_St,1.2686480186480196, Penn_St,1.4271588864784113, Penn_St,1.4859535728955093, Penn_St,1.5062556625014343, Penn_St,1.513054929651018, Penn_St,1.515273046797425, Penn_St,1.5159831161454675, Penn_St,1.516207554652963, Penn_St,1.5162776914774925
7, Clemson,0.846153846153846, Oklahoma,1.2271318425164575, Notre_Dame,1.3831177302465598, Notre_Dame,1.4535859517821978, Notre_Dame,1.4789129420667362, Notre_Dame,1.487598793525346, Notre_Dame,1.4904724137846765, Notre_Dame,1.4913981222290553, Notre_Dame,1.4916909347283973, Notre_Dame,1.4917822083495287
8, Troy,0.8333333333333334, Notre_Dame,1.1982696790389096, Oklahoma,1.375711281853215, Oklahoma,1.4306132280478767, Oklahoma,1.4496949002823447, Oklahoma,1.4562170646228154, Oklahoma,1.4584021191718157, Oklahoma,1.4591166220408742, Oklahoma,1.4593458567626838, Oklahoma,1.4594181722413442
9, TCU,0.8333333333333334, Troy,1.1976495726495722, TCU,1.3255262527552716, TCU,1.37220186011813, TCU,1.3882940925349885, TCU,1.3937111593108538, TCU,1.3955120747520846, TCU,1.3960979910834943, TCU,1.3962851781460066, TCU,1.3963441409058732
10, Memphis,0.8181818181818183, TCU,1.1969696969696961, Troy,1.3101575928280467, Troy,1.3455125506473729, Miami_FL,1.3667959692427396, Miami_FL,1.3744987689012418, Miami_FL,1.3770847091915983, Miami_FL,1.3779258807431238, Miami_FL,1.3781926256215533, Miami_FL,1.3782755411165661
11, South_Florida,0.8181818181818183, Boise_St,1.1619214119214107, Boise_St,1.2878213957759441, Miami_FL,1.344658621616765, Troy,1.356517399741101, Troy,1.359827908490969, Troy,1.3608134316497946, Troy,1.3611062647029926, Troy,1.3611936886028764, Troy,1.361219812158459
12, Boise_St,0.7857142857142855, Michigan_St,1.1312085350546888, Miami_FL,1.2828949475802627, Michigan_St,1.3274565028575613, Michigan_St,1.345668407082383, Michigan_St,1.3517058617320576, Michigan_St,1.353665240509529, Michigan_St,1.354291454355991, Michigan_St,1.3544889220387653, Michigan_St,1.3545505948582932
13, Notre_Dame,0.7692307692307692, Memphis,1.1274104683195592, Michigan_St,1.274541891674757, Boise_St,1.32561432575836, Boise_St,1.3370253413358018, Boise_St,1.3405086015083865, Boise_St,1.3415591664938857, Boise_St,1.3418749922952329, Boise_St,1.341970113688724, Boise_St,1.341998727190418
14, USC,0.7692307692307692, Miami_FL,1.1214257964257957, Memphis,1.2490392457016735, Memphis,1.2911858292273581, Memphis,1.3049340766053545, Memphis,1.309349531813712, Memphis,1.3107359131223653, Memphis,1.3111642151492384, Memphis,1.3112952918948872, Memphis,1.311335067116004
15, Northwestern,0.7692307692307692, USC,1.1086605701990315, USC,1.228331620713277, USC,1.2697223326206644, Auburn,1.2885316997524618, Auburn,1.2963686317623875, Auburn,1.298980121805222, Auburn,1.2998284287998614, Auburn,1.300099087969346, Auburn,1.30018422758264
16, Oklahoma_St,0.7692307692307692, FL_Atlantic,1.1062548562548555, FL_Atlantic,1.220747743256485, Auburn,1.2658928472337345, USC,1.2839152717803752, USC,1.28865443287894, USC,1.290193428247652, USC,1.2906881671690378, USC,1.2908453714628798, USC,1.290894816445421
17, Michigan_St,0.7692307692307692, Northwestern,1.0820781782320248, Northwestern,1.2110951067043036, Northwestern,1.2573243656044935, Northwestern,1.273413993747952, Northwestern,1.2787848318217883, Northwestern,1.280523653428379, Northwestern,1.2810766957932116, Northwestern,1.281250332166863, Northwestern,1.2813042150468845
18, FL_Atlantic,0.75, Washington,1.068376068376068, Auburn,1.2036361231560264, FL_Atlantic,1.2549245931709117, FL_Atlantic,1.2652435065390824, FL_Atlantic,1.2682929593425378, FL_Atlantic,1.269200359007643, FL_Atlantic,1.2694700493245998, FL_Atlantic,1.2695499792549123, FL_Atlantic,1.269573524144627
19, Miami_FL,0.75, Army,1.0505536130536126, Washington,1.188424786654682, Washington,1.23032392461636, Washington,1.24386632865812, Washington,1.2481969080177837, Washington,1.2495743655105704, Washington,1.250010882830678, Washington,1.2501483215811855, Washington,1.250191261091104
20, San_Diego_St,0.75, Auburn,1.0475293936832395, Army,1.1570414959619506, Army,1.1942990407099958, Army,1.2065385790452252, Oklahoma_St,1.210641647913481, Oklahoma_St,1.212162877280226, Oklahoma_St,1.2126607545198456, Oklahoma_St,1.2128202380124642, Oklahoma_St,1.2128703229441742
21, Toledo,0.75, Oklahoma_St,1.0460821230051995, Oklahoma_St,1.1544441863497799, Oklahoma_St,1.1928660455443585, Oklahoma_St,1.206091863847774, Army,1.2103874003282002, Army,1.2115949070446457, Army,1.2119664540312358, Army,1.2120796944138539, Army,1.2121138983210127
